 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|       182|      г.Белоозерск МП "Преста"|                                 г.Белоозерск ул.Заводская 2|                3012200290018 в АКб Приорбанка г.Белоозерска|
|       183|     г.Барановичи Швейная ф-ка|                                   г.Барановичи ул.Войкова 2|                     3012200090015 в Барановичском ф-ле 0505|
|       184|                 г.Брест ПМК-6|                            г.Брест ул.Красногвардейская 108|                                 3012200380013 вАПБ г.Бреста|
|       185|         г.Брест ПКП"Колосок".|                                   г.Брест ул Секорского -2.|                                      3012001759999 в ГУ БКБ|
|       186|         г.Пружаны СП "РИТУАЛ"|                             г.Пружаны,ул.Красноармейская,76|                    3012200090001 в Белоруском АПБ г.Пружаны|
|       187|               Ивацевичи РЭСП.|                             225250 г.Ивацевичи,ул.Щорса,11.|           3012200360019 в ф-ле 0508 Приорбанка г.Ивацевичи.|
|       188|         г.Брест ООО "Сузорье"|                                     г.Брест ул.Дворникова 3|                    3012203830011 в ГБ АКБ Приорбанк г.Брест|
|       190|        Барановичи АТП"Ткани".|                            225320 г.Барановичи ул.Ленина-1.|         301 220 044 0014 в ф-ле 0505 Приорбак г.Барановичи.|
|       191|                г.Береза  РТП.|                              225210 г.Береза,ул.Ленина-61А.|                            212 000 006 0012 в ПСБ г.Березы.|
|       192|                  г.Брест КЗПО|                                    г.Брест ул.БР.Дивизий 26|                              3012201000015 в АК АПБ г.реста|
|       193|           г.Брест ООО"Химера"|                                       г.Брест,ул.Кирова,53.|                            3012000000647 в АСБ Беларусбанк.|
|       194|           г.Брест ООО "КАРАТ"|                          г. Брест  Бульвар Космонавтов  33 |                        301 200 000 1011 в АСБ Беларусьбанка|
|       195|      г.Брест Вагонный участок|                                              224000,г.Брест|                        301 260 010 0016 в АКБ Белжелдорбанк|
|       196|Барановичи  автоагрегатный з-д|                         225320 г.Барановичи ул.Гагарина-62.|                       301 200 036 0013 в  ПСБ г.Барановичи.|
|       197|Брест ,магазин"Мерный лоскут".|                                 г.Брест ул.Орджоникидзе 37.|                           3012002910015 в УАК ПСБ г.Бреста.|
